RETURN_ID,ORDER_ID,PRODUCT_ID,RETURN_DATE,RETURN_REASON,RETURN_STATUS,REFUND_AMOUNT,QUANTITY_RETURNED
RET-0033714478C,ORD-A3D797071C8,PRD-3A967178472,2025-05-08 04:44:10.460788,Changed Mind,Pending,563.79,3
RET-E7DC221C861,ORD-EA93FA77D48,PRD-6B0FBCA067E,2024-02-27 09:21:47.168813,Too Late,Pending,34.01,2
RET-D3972B6496D,ORD-76FB58810E0,PRD-C81DDC6B0BD,2023-12-18 15:42:52.320043,Defective,Refunded,4210.94,1
RET-11D75926AA9,ORD-F6642DD2561,PRD-76D9BA40F27,2026-04-18 19:40:51.002891,Wrong Item,Pending,2060.21,3
RET-C53BDB971ED,ORD-6947D4110B6,PRD-436BDD3926B,2023-10-18 06:27:44.475269,Too Late,Approved,124.31,2
RET-365A8C69420,ORD-14695A8F9B4,PRD-F82C5D9DDF0,2025-03-29 05:30:23.301634,Not as Described,Approved,3681.5,3
RET-088A813C851,ORD-EEA920D68CE,PRD-204AB1D2AEF,2024-12-23 09:00:45.442292,Wrong Item,Rejected,75.57,3
RET-F544310EF7A,ORD-AAC5EE1667D,PRD-898223A38F2,2024-08-14 19:07:57.603091,Too Late,Approved,2363.44,1
RET-E94A7CC9280,ORD-4853884B6FB,PRD-EBBA97BCEF6,2024-02-26 01:18:23.618153,Duplicate Order,Approved,78.02,2
RET-ECE3296A737,ORD-6CDD297445B,PRD-FDD0E964611,2024-12-22 08:30:08.957092,Too Late,Approved,1887.33,2
RET-78692082A06,ORD-DC78CB93929,PRD-DD2C1B65A9A,2025-05-28 08:42:22.465220,Not as Described,Refunded,4406.87,1
RET-33EE0AD9EDC,ORD-0808E0691E1,PRD-BDC17163C31,2023-12-30 05:45:19.223827,Duplicate Order,Rejected,251.78,1
RET-9261202F45D,ORD-47C8FD7723D,PRD-C622EB7243A,2026-06-06 13:21:46.295167,Defective,Rejected,295.66,2
RET-89C74FE8F86,ORD-DF8045A46EC,PRD-12EE31D2CA8,2024-11-23 03:21:16.226229,Duplicate Order,Refunded,380.01,1
RET-563A0A40E7C,ORD-E9A140175B3,PRD-E2674DC87C5,2025-11-28 03:11:59.839292,Better Price Found,Pending,285.8,2
RET-19E51E6159F,ORD-E0BCA7840D7,PRD-2DB7DAC98F3,2024-12-01 03:16:48.611031,Changed Mind,Pending,1823.79,1
RET-0278615E4B7,ORD-2343A09921C,PRD-2F79FA4B460,2026-04-21 09:06:46.502118,Not as Described,Refunded,327.29,2
